ward_no,ward_name,pop,area_km2_x,area_km2_y,lst_mean_earliest_satellite,lst_median_earliest_satellite,lst_max_earliest_satellite,lst_anom_mean_earliest_satellite,lst_anom_max_earliest_satellite,pct_extreme_heat_earliest_satellite,ndvi_mean_earliest_satellite,ndvi_median_earliest_satellite,pct_low_veg_earliest_satellite,mndwi_mean_earliest_satellite,pct_water_earliest_satellite,ndbi_mean_earliest_satellite,valid_obs_earliest_satellite,lst_mean_1990s,lst_median_1990s,lst_max_1990s,lst_anom_mean_1990s,lst_anom_max_1990s,pct_extreme_heat_1990s,ndvi_mean_1990s,ndvi_median_1990s,pct_low_veg_1990s,mndwi_mean_1990s,pct_water_1990s,ndbi_mean_1990s,valid_obs_1990s,lst_mean_present,lst_median_present,lst_max_present,lst_anom_mean_present,lst_anom_max_present,pct_extreme_heat_present,ndvi_mean_present,ndvi_median_present,pct_low_veg_present,mndwi_mean_present,pct_water_present,ndbi_mean_present,valid_obs_present,water_area_km2_present,lst_change_early_to_present,lst_change_1995_to_present,ndvi_change_early_to_present,ndvi_change_1995_to_present,water_change_early_to_present,water_change_1995_to_present,ndbi_change_early_to_present,veg_loss_early_to_present,water_loss_early_to_present,rank_hottest_now,rank_heat_increase,rank_veg_loss,rank_water_loss,rank_builtup_increase,combined_score,rank_combined,vulnerability,valid_pct_present,flag_small_ward,flag_low_data_present,flag_no_early_data,data_quality,lst_gain_1995_raw,present_lst_anomaly_raw,ndvi_loss_1995_raw,water_decline_1995_raw,ndbi_gain_1995_raw,lst_gain_1995_z,lst_gain_1995,present_lst_anomaly_z,present_lst_anomaly,ndvi_loss_1995_z,ndvi_loss_1995,water_decline_1995_z,water_decline_1995,ndbi_gain_1995_z,ndbi_gain_1995,ecological_stress_index,ecological_stress_rank,ecological_stress_category
2.0,Chowdeswari Ward,19626.0,7.06,7.675,37.89,37.92,43.02,0.55,5.68,3.4,0.254,0.238,31.4,-0.429,0.0,0.078,5.3,34.97,34.6,41.36,-0.2,6.19,3.9,0.315,0.31,5.8,-0.419,0.0,0.032,4.2,38.07,38.03,44.91,-0.45,6.38,2.7,0.394,0.388,8.4,-0.393,1.65,-0.059,27.5,0.127,0.11,3.43,0.14,0.079,1.65,1.65,-0.137,-0.14,-1.65,128,168,182,189,170,-0.981,187,Low,92.0,False,False,False,ok,3.43,-0.45,-0.079,-1.65,-0.091,-0.032241694881149766,0.48737373737373735,-0.3655966858341002,0.35858585858585856,-1.0523417072923378,0.11616161616161616,-1.0784676453868116,0.06565656565656566,-1.4853038187298808,0.09090909090909091,-0.6778259067071364,172,Lower relative stress
3.0,Atturu,24020.0,10.15,9.901,38.54,38.76,43.38,1.2,6.04,2.8,0.222,0.193,53.9,-0.445,0.01,0.113,5.2,34.94,34.42,44.93,-0.24,9.76,11.0,0.285,0.277,12.2,-0.435,0.02,0.063,3.9,39.16,39.36,45.85,0.64,7.32,3.6,0.323,0.297,12.5,-0.38,1.56,-0.015,27.0,0.154,0.6,4.94,0.101,0.038,1.55,1.54,-0.128,-0.101,-1.55,50,151,140,187,163,-0.375,140,Moderate,91.0,False,False,False,ok,4.94,0.64,-0.038,-1.54,-0.078,0.8529393827649595,0.7777777777777778,0.7261851978896511,0.7525252525252525,-0.09354148509265217,0.4797979797979798,-1.0065698023610243,0.0707070707070707,-1.1029483802449611,0.1717171717171717,0.06598282999798982,87,Lower relative stress
4.0,Yelahanka Satellite Town,25782.0,4.9,4.905,38.24,38.5,43.8,0.9,6.46,6.2,0.232,0.2,50.0,-0.441,0.13,0.096,5.0,35.13,35.04,42.02,-0.04,6.85,3.8,0.294,0.272,11.6,-0.42,0.0,0.04,4.7,37.52,37.4,44.54,-1.01,6.01,1.3,0.362,0.35,8.9,-0.362,2.46,-0.063,27.4,0.121,-1.1,2.36,0.13,0.068,2.33,2.46,-0.159,-0.13,-2.33,164,192,175,192,190,-1.466,196,Low,92.0,False,False,False,ok,2.36,-1.01,-0.068,-2.46,-0.10300000000000001,-0.6594892134780618,0.2297979797979798,-0.9265121490316238,0.17676767676767677,-0.7951026232875441,0.18686868686868688,-1.6078972167585193,0.05555555555555555,-1.8382473004082684,0.04040404040404041,-1.0590913960822703,193,Lower relative stress
51.0,Vijnanapura,35087.0,2.05,2.054,37.65,37.69,41.36,0.31,4.03,0.0,0.163,0.16,84.1,-0.371,1.1,0.112,5.7,38.16,38.34,42.96,2.98,7.78,29.7,0.221,0.217,34.2,-0.364,0.09,0.066,3.5,39.2,39.05,44.0,0.67,5.47,1.4,0.261,0.226,35.2,-0.32,0.0,0.003,28.8,0.0,1.36,0.71,0.098,0.04,-1.1,-0.09,-0.109,-0.098,1.1,46,123,133,9,137,0.155,79,High,97.0,False,False,False,ok,0.71,0.67,-0.04,0.09,-0.063,-1.6267400599125519,0.050505050505050504,0.756234240560947,0.7727272727272727,-0.14031222763897833,0.44191919191919193,0.05882550793018973,0.8939393939393939,-0.6617690281469766,0.2878787878787879,-0.4552791434218898,157,Heat + water decline
53.0,Basavanapura,22012.0,6.28,6.439,39.11,39.44,43.43,1.77,6.09,7.5,0.186,0.174,70.1,-0.424,0.04,0.136,4.3,37.98,38.41,44.67,2.81,9.49,35.6,0.249,0.25,17.5,-0.385,4.23,0.065,4.3,38.54,38.94,42.86,0.02,4.34,0.2,0.274,0.238,31.0,-0.314,3.35,-0.016,28.9,0.216,-0.5,0.53,0.088,0.025,3.31,-0.88,-0.152,-0.088,-3.31,94,182,115,195,186,-0.958,186,Low,97.0,False,False,False,ok,0.53,0.02,-0.025,0.88,-0.081,-1.7322583340690416,0.03787878787878788,0.10517164934953567,0.5303030303030303,0.21046834145846757,0.5808080808080808,0.5751827442062996,0.9494949494949495,-1.191184250664558,0.16161616161616163,-0.5489497280278506,162,Ecological loss signal
54.0,Hudi,20700.0,15.3,15.408,38.26,38.37,45.38,0.93,8.05,5.9,0.218,0.193,54.0,-0.433,0.0,0.108,5.0,37.66,37.6,47.13,2.49,11.96,30.0,0.269,0.256,13.6,-0.415,0.48,0.066,4.3,39.16,39.19,44.32,0.64,5.79,1.9,0.303,0.289,17.6,-0.37,0.91,0.003,28.7,0.14,0.82,1.59,0.085,0.034,0.91,0.43,-0.105,-0.085,-0.91,50,143,110,183,131,-0.163,117,Moderate,96.0,False,False,False,ok,1.59,0.64,-0.034,-0.43,-0.063,-1.110872941814157,0.12626262626262627,0.7261851978896511,0.7525252525252525,0.0,0.5075757575757576,-0.28105520455535093,0.13383838383838384,-0.6617690281469766,0.2878787878787879,-0.329448477871666,144,Lower relative stress
55.0,Devasandra,22057.0,3.52,3.461,37.68,37.72,43.06,0.34,5.73,0.9,0.213,0.197,52.6,-0.365,0.0,0.072,5.4,37.62,37.63,42.72,2.45,7.54,21.1,0.282,0.27,14.0,-0.358,0.05,0.015,4.3,38.32,38.49,45.57,-0.21,7.04,1.8,0.362,0.327,19.7,-0.358,0.49,-0.045,29.8,0.017,0.77,0.86,0.149,0.08,0.49,0.44,-0.117,-0.149,-0.49,105,146,187,174,148,-0.658,171,Low,100.0,False,False,False,ok,0.86,-0.21,-0.08,-0.44,-0.06,-1.5388081647821437,0.06060606060606061,-0.12520434446373294,0.4696969696969697,-1.0757270785655009,0.10353535353535354,-0.2875913721031498,0.12373737373737374,-0.5735331577273797,0.3333333333333333,-0.8309974135150692,186,Lower relative stress
56.0,A Narayanapura,29420.0,2.15,2.143,36.38,36.28,41.08,-0.95,3.75,0.0,0.216,0.19,56.5,-0.36,1.97,0.062,5.4,37.22,37.26,43.47,2.05,8.29,14.5,0.27,0.242,20.2,-0.355,0.54,0.016,4.0,39.32,39.26,42.81,0.8,4.28,0.1,0.241,0.218,41.9,-0.303,1.89,0.009,26.5,0.041,2.98,2.0,0.025,-0.029,-0.08,1.35,-0.053,-0.025,0.08,39,27,28,23,38,0.854,19,Severe,89.0,False,False,False,ok,2.0,0.8,0.029,-1.35,-0.007000000000000001,-0.8705257617910414,0.18686868686868688,0.8864467588032292,0.8106060606060606,1.473278390209273,0.9217171717171717,-0.882382618952846,0.07575757575757576,0.9853005530188319,0.8939393939393939,0.22622499137508598,67,Extreme combined stress
81.0,Vijnana Nagar,24757.0,5.73,5.744,38.18,38.35,43.51,0.85,6.17,0.9,0.213,0.198,51.1,-0.418,0.49,0.103,5.2,36.61,37.01,45.38,1.44,10.2,16.4,0.284,0.275,6.3,-0.406,0.93,0.048,3.8,38.14,38.31,43.99,-0.39,5.46,0.2,0.302,0.264,29.9,-0.328,1.33,-0.027,26.1,0.076,-0.04,1.3,0.089,0.018,0.84,0.4,-0.13,-0.089,-0.84,119,172,116,182,166,-0.657,170,Low,88.0,False,False,False,ok,1.3,-0.39,-0.018,-0.4,-0.075,-1.2808746057329463,0.09848484848484848,-0.30549860049150845,0.4015151515151515,0.3741659403706091,0.6540404040404041,-0.26144670191195435,0.1414141414141414,-1.014712509825364,0.19696969696969696,-0.5619527955046615,163,Lower relative stress
87.0,HAL Airport,33066.0,6.8,6.821,37.37,37.32,44.59,0.03,7.25,2.0,0.236,0.219,40.1,-0.393,0.0,0.079,5.1,36.85,36.67,45.19,1.67,10.01,16.7,0.28,0.272,20.4,-0.38,0.0,0.038,4.0,39.89,39.79,46.47,1.37,7.94,25.2,0.371,0.358,15.7,-0.4,0.0,-0.016,27.8,0.0,2.47,3.12,0.135,0.091,0.0,0.0,-0.095,-0.135,-0.0,16,60,180,27,111,0.307,63,High,93.0,False,False,False,ok,3.12,1.37,-0.091,-0.0,-0.054,-0.2139676114839934,0.4116161616161616,1.4573785695578516,0.9242424242424242,-1.3329661625702944,0.07323232323232323,-0.0,0.5606060606060606,-0.3970614168881859,0.3813131313131313,-0.09886701458091446,109,Lower relative stress
